Tenor,Expiry,Fwd,Strike,Vol
2,5,0.028436364,0,0.3048
2,10,0.033873471,0,0.2343
5,0.25,0.01601749,0,0.403
5,0.5,0.01680246,0,0.4125
5,0.75,0.017681947,0,0.4078
5,1,0.018623226,0,0.4042
5,2,0.022384186,0,0.3781
5,5,0.030538725,0,0.2816
5,10,0.033460207,0,0.2304
10,0.25,0.02299003,0,0.3451
10,0.5,0.023535063,0,0.3533
10,0.75,0.02411912,0,0.3493
10,1,0.02472472,0,0.3471
10,2,0.027193323,0,0.3249
10,5,0.031883549,0,0.2655
10,10,0.031009202,0,0.2469
15,0.25,0.026332222,0,0.3178
15,0.5,0.026549479,0,0.3246
15,0.75,0.026784261,0,0.3216
15,1,0.027026331,0,0.3221
15,2,0.027948737,0,0.3106
15,5,0.029244346,0,0.2693
15,10,0.027080947,0,0.2532
30,0.25,0.025244793,0,0.3427
30,0.5,0.025399329,0,0.3474
30,0.75,0.02556703,0,0.3437
30,1,0.025740162,0,0.3453
30,2,0.026399841,0,0.3345
30,5,0.027290758,0,0.2921
30,10,0.025954115,0,0.2575
3.75,2.2,0.03,0,0.38
2,0.25,0.010763833,25,0.4148
2,0.5,0.011099189,25,0.439
2,0.75,0.011602429,25,0.4387
2,1,0.012193564,25,0.4435
2,2,0.016195984,25,0.4461
2,5,0.028436364,25,0.2975
2,10,0.033873471,25,0.2279
5,0.25,0.01601749,25,0.3879
5,0.5,0.01680246,25,0.3969
5,0.75,0.017681947,25,0.3914
5,1,0.018623226,25,0.3904
5,2,0.022384186,25,0.3656
5,5,0.030538725,25,0.2758
5,10,0.033460207,25,0.2237
10,0.25,0.02299003,25,0.3314
10,0.5,0.023535063,25,0.3355
10,0.75,0.02411912,25,0.3319
10,1,0.02472472,25,0.331
10,2,0.027193323,25,0.3113
10,5,0.031883549,25,0.2576
10,10,0.031009202,25,0.2395
15,0.25,0.026332222,25,0.2952
15,0.5,0.026549479,25,0.3063
15,0.75,0.026784261,25,0.3055
15,1,0.027026331,25,0.3071
15,2,0.027948737,25,0.2983
15,5,0.029244346,25,0.2603
15,10,0.027080947,25,0.2447
30,0.25,0.025244793,25,0.3189
30,0.5,0.025399329,25,0.3272
30,0.75,0.02556703,25,0.3252
30,1,0.025740162,25,0.327
30,2,0.026399841,25,0.3201
30,5,0.027290758,25,0.2806
30,10,0.025954115,25,0.2487
3.75,2.2,0.03,25,0
2,0.25,0.010763833,50,0.4253
2,0.5,0.011099189,50,0.4377
2,0.75,0.011602429,50,0.4348
2,1,0.012193564,50,0.4478
2,2,0.016195984,50,0.4386
2,5,0.028436364,50,0.2923
2,10,0.033873471,50,0.2228
5,0.25,0.01601749,50,0.3789
5,0.5,0.01680246,50,0.3888
5,0.75,0.017681947,50,0.3821
5,1,0.018623226,50,0.3807
5,2,0.022384186,50,0.3561
5,5,0.030538725,50,0.27
5,10,0.033460207,50,0.2184
10,0.25,0.02299003,50,0.3229
10,0.5,0.023535063,50,0.3276
10,0.75,0.02411912,50,0.3217
10,1,0.02472472,50,0.3191
10,2,0.027193323,50,0.3011
10,5,0.031883549,50,0.2514
10,10,0.031009202,50,0.2337
15,0.25,0.026332222,50,0.2785
15,0.5,0.026549479,50,0.2924
15,0.75,0.026784261,50,0.2932
15,1,0.027026331,50,0.2959
15,2,0.027948737,50,0.2886
15,5,0.029244346,50,0.254
15,10,0.027080947,50,0.2379
30,0.25,0.025244793,50,0.3012
30,0.5,0.025399329,50,0.3121
30,0.75,0.02556703,50,0.3111
30,1,0.025740162,50,0.3126
30,2,0.026399841,50,0.3088
30,5,0.027290758,50,0.2729
30,10,0.025954115,50,0.242
3.75,2.2,0.03,50,0.3911
2,0.25,0.010763833,100,0.4322
2,0.5,0.011099189,100,0.4452
2,0.75,0.011602429,100,0.4375
2,1,0.012193564,100,0.4611
2,2,0.016195984,100,0.4387
